1,1,1;1,1,1;1,1,1
-1,1,-7,-8;-10,-8,-5,-2;0,9,7,-1;4,4,-2,1
6,6,7,-10,9,-3,8,9,-1;9,7,-10,6,4,1,6,1,1;-1,-2,4,-6,1,-4,-6,3,9;-8,7,6,-1,-6,-6,6,-7,2;-10,-4,9,1,-7,8,-5,3,-5;-8,-3,-4,2,-3,7,-5,1,-5;-2,-7,-4,8,3,-1,8,2,3;-3,4,6,-7,-7,-8,-3,9,-6;-2,0,5,4,4,4,-3,3,0;
462,0,0;0,0,0;0,0,0
4,16,-33,-36,-6;43,31,-48,29,-30;7,-27,-9,-15,37;36,3,-5,25,33;-43,49,-9,37,0
27,-35,-43,-23,24;-11,6,47,0,-42;-16,-13,-50,-33,5;14,17,29,34,45;32,-47,-41,13,-38
46,50,8,-34,30;-37,25,27,-38,38;-39,-13,12,23,-4;-21,-44,0,-24,-1;-7,-15,38,41,-37
-42,15,5,-48,-50;20,-21,-2,-27,-12;-10,32,35,15,-23;49,44,25,23,-18;-5,38,35,46,27
27,32,20,-8,-35;-42,-10,25,43,50;-33,-24,14,-28,42;-7,-9,-35,41,-16;35,-38,-31,7,31
-4,46,7,22,50;-48,-29,-43,-26,33;4,48,0,27,-38;30,38,50,4,0;-6,-36,48,-27,-1
-42,-46,-14,31,-4;-20,-49,-46,16,-1;15,47,12,-43,41;-30,-9,-37,-31,-29;48,-35,-10,41,-23
-44,-2,-10,-33,-32;37,1,41,4,50;37,-8,-22,3,8;31,-15,7,-4,-39;-11,-34,18,45,-4
26,25,37,1,-19;44,12,-8,16,-32;29,-4,32,-27,-45;10,-34,30,20,34;0,-5,-41,16,1
3,-47,-9,-31,-23;-29,33,-39,27,-14;6,-21,6,-8,19;-37,-29,-26,-48,-24;-2,-8,-35,5,-47
-43,46,-37,-39,32;37,-21,43,-48,26;-14,13,-1,-48,-49;21,-25,11,36,-48;19,36,48,1,40
12,-10,-1,2,-31;-8,21,-29,-9,-31;-19,11,11,38,0;48,1,29,-40,-35;-33,-32,32,-47,2
26,47,28,-1,25;-23,41,25,-25,-27;-9,5,-41,33,50;-27,26,-31,16,41;-10,-17,-3,-32,47
19,-30,32,37,39;6,49,26,-9,-43;-30,-2,43,-48,-50;15,-42,-25,38,7;-24,-28,-2,-7,-32
16,35,-32,41,11;-11,6,31,22,-13;50,-31,49,-26,-21;5,-42,-38,29,-45;29,22,49,-35,-17
25,7,-8,2,-30;8,31,18,-49,-18;11,-2,-7,25,15;31,39,-40,18,-14;35,-16,-14,-40,30
-33,11,32,-13,37;-49,-47,-3,-27,-27;50,-1,39,4,1;-24,-4,-36,25,-16;-37,-35,45,36,23
-33,21,48,-50,24;28,36,-38,-7,45;50,21,-49,3,27;-3,-31,-8,14,-50;4,-23,44,-48,-11
11,-41,28,-16,-3;-6,-7,-17,-44,19;-27,46,38,-12,48;10,-8,4,-50,-36;8,-30,-12,-21,43
16,-34,-19,39,50;31,-9,-9,45,-29;39,48,-32,-8,-35;-50,7,-23,-11,-42;36,8,24,38,-42
29,21,-33,-21,19;-2,-7,26,38,20;-45,-32,25,3,17;36,41,23,11,36;24,-44,-48,-7,-27
31,10,37,-23,-1;20,49,24,-42,21;21,-34,4,26,-44;-41,31,-29,-23,13;38,-7,-14,27,49
-39,11,14,3,49;-9,-5,14,-36,22;-46,5,-32,-22,-40;-11,-48,11,-24,37;27,-10,-21,16,3
39,13,37,30,28;24,-47,-9,-36,20;-13,17,-44,47,28;20,13,-40,-3,-5;-49,24,44,-9,19
-1,-13,-32,19,43;-35,14,-7,28,6;-7,0,25,-28,6;4,29,10,-34,-12;41,33,15,-23,-12
41,17,48,36,45;34,27,-43,-21,-22;34,-46,1,25,45;-42,50,6,24,-9;-30,-14,37,-7,9
